Node: 0, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.0.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.0.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.3.0        10.0.0.2        255.255.255.0   UGS   105    -      -   1
20.0.2.0        10.0.0.2        255.255.255.0   UGS   94     -      -   1
10.0.1.0        20.0.0.2        255.255.255.0   UGS   100    -      -   2
20.0.18.0       20.0.0.2        255.255.255.0   UGS   178    -      -   2
20.0.19.0       20.0.0.2        255.255.255.0   UGS   193    -      -   2
20.0.1.0        10.0.0.2        255.255.255.0   UGS   170    -      -   1
10.0.18.0       20.0.0.2        255.255.255.0   UGS   204    -      -   2
10.0.17.0       20.0.0.2        255.255.255.0   UGS   188    -      -   2
20.0.20.0       20.0.0.2        255.255.255.0   UGS   194    -      -   2
10.0.4.0        10.0.0.2        255.255.255.0   UGS   180    -      -   1
20.0.15.0       10.0.0.2        255.255.255.0   UGS   245    -      -   1
20.0.16.0       10.0.0.2        255.255.255.0   UGS   263    -      -   1
20.0.21.0       20.0.0.2        255.255.255.0   UGS   246    -      -   2
10.0.13.0       20.0.0.2        255.255.255.0   UGS   257    -      -   2
10.0.8.0        10.0.0.2        255.255.255.0   UGS   254    -      -   1
20.0.17.0       10.0.0.2        255.255.255.0   UGS   324    -      -   1
10.0.16.0       10.0.0.2        255.255.255.0   UGS   273    -      -   1
20.0.13.0       10.0.0.2        255.255.255.0   UGS   363    -      -   1
20.0.14.0       10.0.0.2        255.255.255.0   UGS   334    -      -   1
10.0.12.0       20.0.0.2        255.255.255.0   UGS   305    -      -   2
20.0.11.0       20.0.0.2        255.255.255.0   UGS   294    -      -   2
20.0.23.0       20.0.0.2        255.255.255.0   UGS   325    -      -   2

Node: 1, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.0.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.2.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.1.0        10.0.0.1        255.255.255.0   UGS   111    -      -   1
20.0.18.0       10.0.0.1        255.255.255.0   UGS   189    -      -   1
20.0.19.0       10.0.0.1        255.255.255.0   UGS   204    -      -   1
10.0.4.0        20.0.2.2        255.255.255.0   UGS   169    -      -   2
20.0.15.0       20.0.2.2        255.255.255.0   UGS   234    -      -   2
20.0.16.0       20.0.2.2        255.255.255.0   UGS   252    -      -   2
10.0.18.0       10.0.0.1        255.255.255.0   UGS   215    -      -   1
10.0.17.0       10.0.0.1        255.255.255.0   UGS   199    -      -   1
20.0.20.0       10.0.0.1        255.255.255.0   UGS   205    -      -   1
10.0.8.0        20.0.2.2        255.255.255.0   UGS   243    -      -   2
20.0.17.0       20.0.2.2        255.255.255.0   UGS   313    -      -   2
10.0.16.0       20.0.2.2        255.255.255.0   UGS   262    -      -   2
20.0.13.0       20.0.2.2        255.255.255.0   UGS   352    -      -   2
20.0.14.0       20.0.2.2        255.255.255.0   UGS   323    -      -   2
20.0.21.0       10.0.0.1        255.255.255.0   UGS   257    -      -   1
10.0.13.0       10.0.0.1        255.255.255.0   UGS   268    -      -   1
10.0.9.0        20.0.2.2        255.255.255.0   UGS   281    -      -   2
20.0.5.0        20.0.2.2        255.255.255.0   UGS   307    -      -   2
20.0.6.0        20.0.2.2        255.255.255.0   UGS   287    -      -   2
20.0.7.0        20.0.2.2        255.255.255.0   UGS   270    -      -   2
10.0.15.0       20.0.2.2        255.255.255.0   UGS   334    -      -   2
20.0.12.0       20.0.2.2        255.255.255.0   UGS   358    -      -   2
20.0.26.0       20.0.2.2        255.255.255.0   UGS   359    -      -   2
10.0.14.0       20.0.2.2        255.255.255.0   UGS   363    -      -   2
10.0.11.0       20.0.2.2        255.255.255.0   UGS   390    -      -   2
20.0.22.0       20.0.2.2        255.255.255.0   UGS   382    -      -   2

